Starting training from scratch with 39-dim architecture.
Connected to Godot at 127.0.0.1:4242
Ep: 236 | Steps: 15 | Total Reward: -175.83 | Avg: -11.7218
Ep: 237 | Steps: 33 | Total Reward: -239.09 | Avg: -7.2453

--- Updating Brain (Step 144000) ---
Ep: 238 | Steps: 1000 | Total Reward: -39095.40 | Avg: -39.0954
Ep: 239 | Steps: 1000 | Total Reward: -12043.61 | Avg: -12.0436
Ep: 240 | Steps: 1000 | Total Reward: -13435.00 | Avg: -13.4350
Ep: 241 | Steps: 1000 | Total Reward: -14197.72 | Avg: -14.1977

--- Updating Brain (Step 148000) ---
Ep: 242 | Steps: 1000 | Total Reward: -21122.20 | Avg: -21.1222
Ep: 243 | Steps: 1000 | Total Reward: -17671.63 | Avg: -17.6716
Ep: 244 | Steps: 1000 | Total Reward: -16457.55 | Avg: -16.4575
Ep: 245 | Steps: 1000 | Total Reward: -12445.99 | Avg: -12.4460

--- Updating Brain (Step 152000) ---
Ep: 246 | Steps: 1000 | Total Reward: -27785.46 | Avg: -27.7855
Ep: 247 | Steps: 1000 | Total Reward: -12242.28 | Avg: -12.2423
Ep: 248 | Steps: 1000 | Total Reward: -17984.26 | Avg: -17.9843
Ep: 249 | Steps: 1000 | Total Reward: -17851.61 | Avg: -17.8516

--- Updating Brain (Step 156000) ---
Ep: 250 | Steps: 1000 | Total Reward: -10969.64 | Avg: -10.9696
Ep: 251 | Steps: 1000 | Total Reward: -11897.93 | Avg: -11.8979
Ep: 252 | Steps: 1000 | Total Reward: -13209.12 | Avg: -13.2091
Ep: 253 | Steps: 1000 | Total Reward: -11918.05 | Avg: -11.9180

--- Updating Brain (Step 160000) ---
Ep: 254 | Steps: 1000 | Total Reward: -15289.87 | Avg: -15.2899
Ep: 255 | Steps: 1000 | Total Reward: -19146.59 | Avg: -19.1466
Ep: 256 | Steps: 1000 | Total Reward: -15570.13 | Avg: -15.5701
Ep: 257 | Steps: 1000 | Total Reward: -17107.06 | Avg: -17.1071

--- Updating Brain (Step 164000) ---
Ep: 258 | Steps: 1000 | Total Reward: -16276.82 | Avg: -16.2768
Ep: 259 | Steps: 1000 | Total Reward: -12606.94 | Avg: -12.6069
Ep: 260 | Steps: 1000 | Total Reward: -22623.16 | Avg: -22.6232
Ep: 261 | Steps: 1000 | Total Reward: -17542.11 | Avg: -17.5421

--- Updating Brain (Step 168000) ---
Ep: 262 | Steps: 1000 | Total Reward: -22801.42 | Avg: -22.8014
Ep: 263 | Steps: 1000 | Total Reward: -20149.71 | Avg: -20.1497
Ep: 264 | Steps: 1000 | Total Reward: -20962.29 | Avg: -20.9623
Ep: 265 | Steps: 1000 | Total Reward: -19994.36 | Avg: -19.9944

--- Updating Brain (Step 172000) ---
Ep: 266 | Steps: 1000 | Total Reward: -12454.18 | Avg: -12.4542
Ep: 267 | Steps: 1000 | Total Reward: -12692.82 | Avg: -12.6928
Ep: 268 | Steps: 1000 | Total Reward: -28952.34 | Avg: -28.9523
Ep: 269 | Steps: 1000 | Total Reward: -12964.15 | Avg: -12.9641

--- Updating Brain (Step 176000) ---
Ep: 270 | Steps: 1000 | Total Reward: -18235.49 | Avg: -18.2355
Ep: 271 | Steps: 1000 | Total Reward: -13671.53 | Avg: -13.6715
Ep: 272 | Steps: 1000 | Total Reward: -16653.45 | Avg: -16.6535
Ep: 273 | Steps: 1000 | Total Reward: -14262.96 | Avg: -14.2630

--- Updating Brain (Step 180000) ---
Ep: 274 | Steps: 1000 | Total Reward: -10785.29 | Avg: -10.7853
Ep: 275 | Steps: 1000 | Total Reward: -15852.09 | Avg: -15.8521
Ep: 276 | Steps: 1000 | Total Reward: -19003.11 | Avg: -19.0031
Ep: 277 | Steps: 1000 | Total Reward: -16097.25 | Avg: -16.0972

--- Updating Brain (Step 184000) ---
Ep: 278 | Steps: 1000 | Total Reward: -30689.85 | Avg: -30.6899
Ep: 279 | Steps: 1000 | Total Reward: -19465.14 | Avg: -19.4651
Ep: 280 | Steps: 1000 | Total Reward: -19716.18 | Avg: -19.7162
Ep: 281 | Steps: 1000 | Total Reward: -15724.86 | Avg: -15.7249

--- Updating Brain (Step 188000) ---
Ep: 282 | Steps: 1000 | Total Reward: -35739.58 | Avg: -35.7396
Ep: 283 | Steps: 1000 | Total Reward: -14103.03 | Avg: -14.1030
Ep: 284 | Steps: 847 | Total Reward: -25405.10 | Avg: -29.9942
Ep: 285 | Steps: 18 | Total Reward: -1833.90 | Avg: -101.8834
Ep: 286 | Steps: 12 | Total Reward: -1434.49 | Avg: -119.5406
Ep: 287 | Steps: 1000 | Total Reward: -37474.70 | Avg: -37.4747

--- Updating Brain (Step 192000) ---
Ep: 288 | Steps: 1000 | Total Reward: -19574.42 | Avg: -19.5744
Ep: 289 | Steps: 1000 | Total Reward: -28495.94 | Avg: -28.4959
Ep: 290 | Steps: 1000 | Total Reward: -14348.97 | Avg: -14.3490
Ep: 291 | Steps: 1000 | Total Reward: -12981.99 | Avg: -12.9820

--- Updating Brain (Step 196000) ---
Ep: 292 | Steps: 513 | Total Reward: -7505.49 | Avg: -14.6306
Ep: 293 | Steps: 44 | Total Reward: -5777.56 | Avg: -131.3082
Ep: 294 | Steps: 23 | Total Reward: -3200.18 | Avg: -139.1382
Ep: 295 | Steps: 7 | Total Reward: -145.55 | Avg: -20.7924
Ep: 296 | Steps: 906 | Total Reward: -57428.29 | Avg: -63.3866
Ep: 297 | Steps: 95 | Total Reward: -8623.05 | Avg: -90.7689
Ep: 298 | Steps: 1000 | Total Reward: -15972.32 | Avg: -15.9723
Ep: 299 | Steps: 1000 | Total Reward: -11040.96 | Avg: -11.0410

--- Updating Brain (Step 200000) ---
Ep: 300 | Steps: 1000 | Total Reward: -11229.94 | Avg: -11.2299
